STA,LONG,LAT
LTZ,116.634000785000012,32.560133684999997
2.000000000000000,116.652646108611123,32.565262804166665
3.000000000000000,116.662811381944451,32.567960738333333
4.000000000000000,116.677494514722227,32.578115178611114
5.000000000000000,116.682576157222229,32.586686028611112
6.000000000000000,116.694082863333335,32.597975000555557
7.000000000000000,116.701854473055562,32.602946256111110
8.000000000000000,116.718403752222230,32.610818257222220
9.000000000000000,116.727862257500007,32.614667327222222
10.000000000000000,116.739048962500007,32.626725946666667
11.000000000000000,116.739926883888884,32.633393934722221
12.000000000000000,116.734501359999996,32.647933097777781
13.000000000000000,116.729273224166676,32.656131164166666
14.000000000000000,116.711673994722219,32.666227680277778
16.000000000000000,116.692938690555565,32.683420097777777
17.000000000000000,116.691140254444448,32.691166884444442
18.000000000000000,116.704513741388894,32.703758153888892
19.000000000000000,116.713811697777786,32.698026148888886
20.000000000000000,116.731124570000006,32.694761343888885
21.000000000000000,116.733373336944439,32.701362445277780
22.000000000000000,116.729798277222230,32.706030108333337
23.000000000000000,116.727549093888896,32.716880431666667
24.000000000000000,116.739012969722225,32.719709456666671
25.000000000000000,116.759579834999997,32.721482288611114
26.000000000000000,116.767609055833333,32.720369762777779
27.000000000000000,116.789711992500003,32.714492818611113
28.000000000000000,116.799039918333335,32.710932330555558
29.000000000000000,116.817786586944436,32.701116189722228
30.000000000000000,116.822295828888883,32.691987233333329
31.000000000000000,116.830812158055551,32.674812505555551
32.000000000000000,116.835822191666665,32.669260316944445
33.000000000000000,116.852632000555545,32.660656613055551
34.000000000000000,116.861693342777770,32.655300761944446
35.000000000000000,116.880179526666666,32.644186074444441
36.000000000000000,116.889088336666674,32.639459009444444
37.000000000000000,116.903936359166678,32.642790722222223
38.000000000000000,116.900488574444452,32.649953669166663
39.000000000000000,116.906978351944446,32.663800258888891
40.000000000000000,116.913214992777782,32.671358701666662
41.000000000000000,116.930900995277781,32.676862711388885
42.000000000000000,116.939710904444453,32.678823057222218
43.000000000000000,116.960455040555559,32.681423988888888
44.000000000000000,116.972237634166675,32.682800899999997
45.000000000000000,116.993857625555563,32.676494303333328
46.000000000000000,117.002828199444451,32.672810673333331
47.000000000000000,117.019797407499993,32.677215159999996
48.000000000000000,117.027725761666659,32.683386566666663
49.000000000000000,117.046084039722217,32.692740064999995
HN,117.060000000000002,32.689999999999998
